height,lightning_nodes,lightning_channels,segwit_percentage,segwit_inputs,total_inputs,lightning_channels_funded
510874,639,3565,13.38,363,2713,8
510873,639,3565,9.20,186,2022,3
510872,639,3565,20.10,162,806,4
510870,639,3565,18.92,783,4139,1
510867,639,3565,17.68,70,396,0
510866,639,3565,11.40,135,1184,3
510865,639,3565,7.68,157,2043,4
510864,639,3565,11.56,20,173,1
510863,639,3565,8.30,276,3326,6
510862,639,3565,23.96,756,3155,5
510861,639,3565,4.62,3,65,0
510859,639,3565,14.50,422,2911,6
510859,639,3565,14.50,422,2911,6
510858,639,3565,7.00,409,5844,9
510857,639,3565,15.39,268,1741,3
510856,639,3565,13.30,730,5488,12
510855,639,3565,16.05,695,4330,5
510854,639,3565,9.28,409,4407,8
510853,639,3565,0.00,0,1,0
510843,639,3565,28.42,162,570,1
510842,639,3565,12.41,564,4545,14
510841,639,3565,14.86,81,545,1
510839,639,3565,17.70,543,3068,9
510838,639,3565,30.89,59,191,0
510837,639,3565,23.74,216,910,3
510836,639,3565,34.16,760,2225,2
510835,639,3565,51.90,807,1555,2
510833,639,3565,8.41,173,2057,3
510832,639,3565,19.17,157,819,4
510831,639,3565,18.33,578,3154,2
510830,639,3565,8.25,184,2230,3
510826,639,3565,6.30,233,3698,4
510825,639,3565,8.22,301,3663,4
510824,639,3565,4.47,164,3671,2
510823,639,3565,8.40,331,3942,6
510822,639,3565,9.76,405,4149,5
510821,639,3565,4.00,145,3622,3
510820,639,3565,0.78,28,3574,2
510819,639,3565,4.17,152,3645,4
510818,639,3565,2.18,75,3436,1
510816,639,3565,1.70,59,3474,0
510816,639,3565,1.70,59,3474,0
510815,639,3565,6.78,249,3672,1
510814,639,3565,6.58,257,3903,8
510813,639,3565,4.10,170,4143,5
510812,639,3565,12.31,207,1681,5
510811,639,3565,9.07,385,4247,7
510810,639,3565,9.22,71,770,3
510809,639,3565,9.07,358,3946,9
510808,639,3565,2.29,78,3412,1
510807,639,3565,1.50,51,3404,1
510806,639,3565,13.36,58,434,1
510805,639,3565,11.65,452,3880,2
510803,639,3565,0.87,30,3468,0
510801,639,3565,2.98,109,3659,7
510800,639,3565,5.68,83,1460,2
