nodeid,alias,color,last_timestamp,addresses/0/type,addresses/0/address,addresses/0/port,addresses/1/type,addresses/1/address,addresses/1/port
0325fd957aeaead3635d7593b56c717090f95e7808290216b452e23fb2c0d77d11,mdogan,ff0000,1519435195,ipv4,104.154.55.2,9735,,,
02a0f1e7defe594d4f89e056ac45dbc3c2bdb29480270ed11c11040128a4ca6285,K2TOG,3399ff,1521486447,ipv4,174.53.20.88,9735,,,
022d065a059294ff8796cf0b9df467ba76420c62eda92771a4063d15e7170020e0,ODDBAGEL,022d06,1517156558,ipv6,2001:41d0:8:e3e4::1,9735,,,
0388157a19ed80015b64bf9cd3cbc3c3c4492822341ab7813c7f9c0dbccc08fb26,CELLER_DOOR,0066cc,1520608292,ipv4,173.212.197.45,9735,,,
035ec1f8ea7d376385dfa7c92bd9a0c43e1c88a4058179c3a80ac68abc27dd2389,SportsAccess,035ec1,1518802965,ipv4,69.61.38.136,9735,,,
023033a65a59d8960970ae8aad940dc574594237ad1276344e8c1d73fe5efe56bb,LightningBee,ffcc00,1521367394,ipv4,87.66.1.116,9735,,,
0378486e514d37ddd86fcdbe87aa41072a8f32429f3dc1f5a1d23df9089433b71f,ArcadeCity,037848,1517335956,ipv4,159.89.194.18,9735,,,
031c32d4083c916e41727ffdd66cee7ff03366663a0e5c64e0ab59737dcfdf17c8,CabbarBaba,00bfff,1520608292,ipv4,35.193.174.65,9735,,,
03b72234539409e6390cf66322319cf2211f09880b015259bb66e69d47c507da05,FALCON9,0066cc,1520000258,ipv4,35.225.226.42,9735,,,
025cfa5b5fd97685b3d851acc5e43ce9f019da83b23ef179cf7638f29e1e706f71,TheSpoke,3399ff,1521494536,,,,,,
030d3bd4450403644caa1950b83f0a04f31b88c42f436e41b4adf08eed3eb8773f,embedded.cash,4caf50,1521192606,ipv4,89.47.165.144,9735,,,
02de874acb4af41a685c112b68a30b67a2d5cdb57cd601c96b18ced1bc2699229d,Bitcoin Poland - k0dlaty,7cfc00,1521498908,ipv4,176.115.25.48,9735,,,
020dcba6ad62784594a2276e79818315aea5b2d0a04f6439f946cea1a62698bf76,RUSSIA,0039a6,1520086968,ipv4,35.204.219.75,9735,,,
02ef471860e3634fb55624b329c09a682aba187c7aada690bab3c5ad9051f2e9f5,BABALAR,0066cc,1520901460,ipv4,198.199.82.222,9735,,,
0298b13021a26017067a2fe89d675c7645a5fc7a67fdee7c70a6da4ff7a4630ad3,SLEEPYENTOURAGE-21-2104-gcabeef2,0298b1,1519607015,ipv4,198.199.122.85,9735,,,
02903278ba878766449cc33b94f295d1f1cf0ce930e573447015c1534714ef3f2e,halfik ???,ff0000,1521496776,,,,,,
025f85db77e1c1e0f8a203d0432d75cd96e9c33983756ae960b2926bcc9b561899,025f85db77e1c1e0f8a2,3399ff,1521390541,ipv4,99.35.102.97,9735,,,
02c3a0a5862951686f8b9061d3e6916b6575b7bd1a1a8171a5a96b9d7fe693a55f,Goodman Enterprises,02c3a0,1518784702,ipv4,138.68.56.60,9735,,,
035e34277deacff9da3dc685014c9fa59143b5c86244c7f72a88605e123647cdbd,BRIJ,ffcc00,1521006570,ipv4,67.170.232.244,9735,,,
039b2990bdc09b8176d101517bebab019ecd41b546d3e8fec8c19cd05bfdf9be7d,FastPay,ff8000,1521197186,ipv4,35.231.106.249,9735,,,
02e7ac300471ac96db1ecc52f3f4e2bf26a3cd3cfb1e8ba68f2b6fadc4ab37440e,UNITEDMOON,02e7ac,1516399186,ipv4,69.15.179.61,9735,,,
0323d2e69f49fd5f998832281c4cf7cc14a31b3302fbf4a66134a945237a8c1237,ORANGESOUFFLE,0323d2,1518453913,ipv6,2001:700:300:1517:ad20:1d2f:5f2a:a139,9735,,,
024f5f1ddd1cf78afb23dcd2895d665f1f287ddc2ad1445a01a60e8cc5356b61b3,BitBargain.co.uk,3399ff,1518719561,ipv4,37.221.209.222,9735,,,
03baa70886d9200af0ffbd3f9e18d96008331c858456b16e3a9b41e735c6208fef,LIGHTNING,03baa7,1521226261,ipv6,2001:470:8:2e1::43,9735,,,
03425da804d327461c21e4c1c04e43d0cef2f0ec5bd229264b2279d8d8e64476fb,BLOCKCHAINS,0066cc,1520593013,ipv4,173.249.2.143,9735,,,
03e2c211128616d087a3a21181e9e9f012e3eaa8b326da1a53ed26a60bddbf5cc3,XXX,ff0000,1518711792,ipv4,35.204.134.35,9735,,,
03d8fccf7a73eb1c53f7eaa3f99bd5c64f2267ebc260ad0e5714d4c104719d230d,lightningbtc.shop,0000ff,1518978619,ipv4,5.189.140.64,9735,,,
03d6ebe2c68d4f7647dfcf56b22efa144f0c92e94b7c3aaa353615946d7c390c12,LivingRoomSatoshi,4582ec,1521067595,ipv4,159.89.206.27,9735,,,
03713775dbbc5d908f9a113be4b77b74fa64e3302a107ea40963ae81743d25fcd6,djh82uk,037137,1519578338,ipv4,81.98.124.201,9735,,,
03b1be68b8f564fe53f5456cf4bec901ba968fb72ed7291279ab0c87e0d22f1f49,Plasma???Release,3399ff,1521393937,ipv4,24.4.228.213,29735,,,
0273ccbe91ea950df1f82d4825e63140c0151312e4c396888dd951e6d98476c388,BNWInvestments,0273cc,1521204306,,,,,,
02e27bc869fccd7ce5052124734ef63104af4f58ce363aca3540605fb950d15339,afcreamer,99ddff,1520168634,,,,,,
03f55ebbacc0fa4d537ac698e1247a36e63290d4c457fd85384d4706a9b218102f,PENKOIN,ff00ff,1517166624,ipv4,159.89.98.227,9735,,,
03badf671ac3fa8f2a67c273e2a1df09ebcd24651afb7def0dd933d63c805e1ba1,Samaritans,03badf,1519033543,ipv4,107.155.186.99,9735,,,
034593537dc19047de45ef90ec22b83243b184df595a613883fea6542caf39a656,#freeross,034593,1520771248,ipv6,2a02:c207:3002:5642::1,9735,,,
02bbb51f2c0c937a73ce96dad603272ba7ec153727e573830752de5e1481e5fe32,STARBUCKS,0066cc,1518537618,ipv4,5.189.179.60,9735,,,
0219b7b9750c94bd47d2300505fc1de2b71b5d97807334340d4bc3835b5ca639c1,rocinante,ea3c16,1521500726,ipv4,34.207.192.146,9735,,,
0397d29a84dcba2d542259bc744b857ecc7c2eff734a08a0166ec7dccd8f362434,Zakk,3399ff,1518721024,ipv4,89.107.7.119,9735,,,
027e7aa840ed3c61d1685b74601bd037d86b5dc4cad6a7d5ce24f58584e8c770ef,MAVERAUNNEHIR,0066cc,1521407116,ipv4,159.89.239.123,9735,,,
026f502bb61007f34ad0f7e64e22b7aec2eb318bd6d3ed52507eda9c73d74982d8,4CHAN,0066cc,1521463542,ipv4,5.189.179.42,9735,,,
037bbd966e0939be14083a4bc62b42fa0ad6c5b2fbb3064876f0265787c78a73f7,CELLAR_DOOR_1,0066cc,1520608292,ipv4,173.212.223.113,9735,,,
03e5a28ba3a16b53562ec6e8ad3de16fd99c5eb39227dc8eca0a8ebbbeb732b76c,YELLOWCHASER,03e5a2,1516783802,,,,,,
027644f08d2282a1a113583fc736c86943ab964dcf0271602167ce427f75cb1710,CABBAR,00ced1,1520601904,ipv4,35.229.19.134,9735,,,
022e74ed3ddd3f590fd6492e60b20dcad7303f17e1ffd882fb33bb3f6c88f64398,022e74ed3ddd3f590fd6,3399ff,1516273893,,,,,,
02f3750aefc8bf1d42cf5970b51c6d1385a6d470f62d8c21f69611c4bb17cb6616,FastLightning,0066cc,1518467611,ipv4,159.89.156.194,9735,,,
02f40890af885da4673f0ee9725ee74bb2c66d6491cc4334056a2701057993e61d,tanjalo.com,f5593d,1521484446,ipv4,144.76.220.229,9735,,,
03ec4f6fefe6001f8ca2fbd078716a4eb32ba826a735f5ab8dc56fd4c8bbaf016b,PAYMENT,ff0000,1520888160,ipv4,35.226.212.184,9735,,,
03d230e83b40d70a05cc6bb325143739d12d527432622d0e5376e7f9e8aa44c72a,LNTURKEY.net,ff0000,1521449027,ipv4,35.195.10.85,9735,,,
02e4f9fbf93b1e82505064c9fe4a51bcadafe0d54645ca5d88ebf97f83d71246ae,ANGRYWHISPER,02e4f9,1521060310,,,,,,
0321344cc2a35796592dc363ba5b5d5bc00f653f0a4ab8f7bd07256649fc682de7,FORREST_GUMP,0066cc,1520101138,ipv4,173.212.213.247,9735,,,
023e2b9bb357b1bf135d59551418178ef020cdd77efee7939cdd7c83f41256f7b1,01.coinmageddon.com,3399ff,1518428926,ipv4,18.220.120.47,9735,,,
02e3dfb143f41488ac3b394242b20b6c101f384494cbb9380831373c98b8ce3a4e,ISTANBUL,7aff99,1520200802,ipv4,89.163.201.37,9735,,,
02b8bf9a283df48ee3b71651157ef73d72ca54dcf223f72aff2d13d8c8eda484f2,THUNDERSTRUCK,f08f08,1521406022,ipv4,159.65.69.149,9735,,,
020976875f2a90838859bcdb280b6dacdcc0a9854764b5ff02b138ac9ca91a5e8c,LIGHTNINGTROUGH-1-2350-g234d67da,020976,1521383767,,,,,,
033ccad7e8ca762a8a4f161e3c43c56fc67ea8f53e2bb54de7f3f88f58279d360e,bitmynt.no,033cca,1521460854,ipv4,5.189.134.4,9735,,,
02241e1d480fcedaa1268574d530ef8ed5545bacdcd391e40ac58cbed30d001d40,freedomnode.com,ffdc00,1521500727,ipv4,1.175.151.6,9735,,,
03b7ca940bc33b882dc1f1bee353a6cf205b1a7472d8ae24d45370a8f510c27d23,COINGAMING,ff0000,1516909288,ipv4,18.195.40.124,9735,,,
024f29de06de1b7c335f819238e5d9b8ffeee8b788cd0426f67234020189b85360,024f29de06de1b7c335f,3399ff,1521499360,,,,,,
02fc7ef232bd958209a2180fb18844388babc48a81d31434e343ecc4d7dd1a9186,COINMINER.SPACE,333333,1521501195,ipv6,2a02:c207:2014:9913::1,9735,,,
03527c7c3d4a7b5e32d8c888e16d7e499adaec50cbfe7a6c61b505f3e71fb094b1,03527c7c3d4a7b5e32d8,3399ff,1521355181,ipv4,148.251.186.36,9735,,,
028bb0107014a8f749998ba53c9fff32b2d47f3e0ec2a5759859bfd637721f519e,LightningHODL,0066cc,1519147615,ipv4,35.231.20.0,9735,,,
020e7172190f243d11731a3ca6b33dab6e8441b7c5c306fe29f2c3d2fce91713fb,lightning-roulette,020e71,1521464814,ipv4,104.199.15.193,9735,,,
02eccebd9ed98f6d267080a58194dbe554a2b33d976eb95bb7c116d00fd64c4a13,02eccebd9ed98f6d2670,3399ff,1517116955,ipv4,45.77.7.202,9735,,,
03a9b9b4d5bff67fb90d7deaf7db842e3aa5e3abea58fa488a8af3d163679107d7,YELLOWMONTANA,03a9b9,1521494118,ipv6,2001:b030:2422::208d,9735,,,
03032646375860baa4251580bbf14aabb0175dee1e18bca2342ec322bc280fcb97,tekcomms,030326,1518383288,ipv6,2607:5300:120:3e::,9735,,,
03d6e7e8795d4479d1e33a5340abb1412d7ae8c6bb022a8853474a5f14334cbc4f,UNITEDFEED,03d6e7,1518103315,,,,,,
02b11440fc0a82e4489a124623a63e01936bd3dfd60f33ad6f0d7756e922bcdced,lightningramp.com,3399ff,1521378090,ipv4,34.233.74.151,9735,,,
0313b6d0e62c911305a1ca7c7de021646e619066159a344f3c751cb3b303ad5e82,burt-gummer,ff9900,1519690491,,,,,,
035bfee56cc75cbfa0f16d4466094bac0a796065d0aec6b5d44031091578053c05,IRATESPAWN-6-11-21-2213-g8e8d7c2,035bfe,1520289492,,,,,,
02ac9c298789d2387d2534481dcc0e4f98fda7b235faac3965861b7be9d090ccc0,TESLA,970343,1521462158,ipv4,35.231.7.69,9735,,,
038e48bc826cb427519ed49e75f2617e40541d957e56c9c5d12ea3872518415576,TR4300,0066cc,1518228834,ipv4,93.104.215.97,9735,,,
0206c7b60457550f512d80ecdd9fb6eb798ce7e91bf6ec08ad9c53d72e94ef620d,SCOTTSHAPIRO,c7186f,1518884734,,,,,,
030f5c893bc92e3f45955c2c82d9e933bcfb2c68677c0f62b478e5f7f602b549fb,ANATOLIA,ff0000,1517239221,ipv4,174.138.0.169,9735,,,
0248daf75f67109fd26e136e8092707f70e3f2d1bc59bf99880f99caa60eb63177,HAPPYGOPHER--11-21-2207-g31b9b6b,0248da,1520472238,,,,,,
0230d1a9462fae76bc20e9f5eff885a70f4152d9eca912418cbdbeae9a331a96f1,Neo,14cd00,1518621787,ipv4,35.197.72.115,9735,,,
03f082af0f42187d6fb56c60a12696f4858e0f72bcdc47f3ced011225909b74b22,VIOLENTTRAWL,03f082,1519345103,,,,,,
038ae17eed1d1e30bcdef2f8f986c343b87d90cf57b5b36039dfb1049815baf4c6,UNITEDSET,038ae1,1517155501,ipv6,2a01:4f8:10b:1c67::2,9735,,,
029eda74de66b675354054af719ba9e8f3f8954f88e2a8bcd0be8d7d191e9a11c1,029eda74de66b6753540,ff9900,1521497057,ipv4,173.71.149.66,9735,,,
034dc63e5948753635d37ae0e159eff4f377cd752e10f2b2067e5123fce720adac,ghost,3399ff,1521494505,,,,,,
026eed48f7252b46dc92c01a7360347e0799a85c63ad7d717626c6e57e6bff949e,lightningj-osl,ff0000,1520767420,,,,,,
02f161893d086b92c25b87791d5f0a00a517cad393c494aa3a5542d6a650d6ee8a,North_Nicosia_Cyprus,02f161,1519723277,ipv4,35.192.11.67,9735,,,
02f85bc8de0aae119967b82b0a591a3892c42194bfe1405596dcc1c03568b560d5,Checkich_1,ff0000,1521491807,ipv4,104.197.41.85,9735,,,
0273610392cfcbf1d4f2b0dd534cb04d066a88e1c68181ffdb6c4a609403f88741,BIZARRESPATULA,027361,1517376983,ipv6,2603:3024:18ee:8000:20e:c4ff:fed1:ef15,9735,,,
030e9226f19cd3ba8a58fb280d00f5f94f3c10f1b4618a5f9bffd43534c966ebd4,VIRGINAWOLF_2,030e92,1517768923,ipv4,94.219.227.68,7936,,,
020331a1a81bd8ad2c2ffcd6730bee311c6f457ceca8e8cfcfef0117cebfac348a,sessiz,808080,1519656056,ipv4,35.192.165.15,9735,,,
03ed5ef737e84ad7e316744d77c440a60707c80fde674ce93175a159ae23b7e635,SQUADSYSTEM.COM,ce5f27,1517001001,,,,,,
029762a5d8f166427916966c11d257a762fbd28de775b8aef8380baed0a3dd2991,Basic,00ff00,1520187646,ipv4,167.99.0.195,9735,,,
033667d16169feb20ad74e84b006a2bf5a49afa682b9421be04add277446adb794,LOUDSOUFFLE,033667,1517690419,,,,,,
03354ff488363e38c498bb30041d2447e7e4e8c9bb738c765ff8215d1d94a94f08,URANUS,0066cc,1517863927,ipv4,173.249.29.29,9735,,,
03f8d1ae8e36d19ed96fefa02f6f6c33fe69ed2fff5ece582b013a92c9077ee396,?????????RAITO?????????,d32d31,1521455201,ipv4,159.89.127.22,9735,,,
02a00e8c2877df1b8ebe2833976f8562662c5addab483bc26400adee051b843958,cetus,02a00e,1521482057,ipv6,2600:1700:e901:29c0:a00:27ff:fee2:bec7,9735,,,
03aa434d9ff5d5470033aa654f201dbbdce79955c61e9e48a6674d203ae3b689f5,Mirage,68f442,1521494541,ipv4,178.27.207.13,9735,,,
03d79fa302d7276885b6a5ea418ac9e7ccb6f12f93e0901983e6f3cac205b4298d,YENIMALATYASPOR,ff0000,1521241539,ipv4,35.227.55.52,9735,,,
020c58713c956bcf7ac26d182fa647db886c7caa770d616356278f536ccd5c0ff4,tiamat,020c58,1519303574,ipv6,2600:1700:e901:29c0:a00:27ff:fe3a:f989,9735,,,
0235295130523a20394d3eb2eedae07ea400ed043c4b0703ab5baa17599928cf9c,emrebskn,0066cc,1521002509,ipv4,35.190.145.27,9735,,,
03ca5327a1994a44f98884b1a84018b8b3f7f8210d8994697dbcf59fdc2ae1bd9c,CHINA,ff0000,1521470882,ipv4,35.231.18.175,9735,,,
03c5d75a98ae97355448f5d67af70552d22502081bbd0ea74e7ee973dac7e65e8f,efe-1,0066cc,1517777724,ipv4,138.197.106.118,9735,,,
0218bcdf5e678e49f0fb143fa55fcf1d19931bf34579e9b2847d9fbcd02c38078f,brischniz,800000,1520686952,,,,,,
024f8a8350dbc4a572f51618c9aec5458559d5fdf255b00740bb031c2d51ae25a7,OtsProofBot,c0c0c0,1521494052,ipv4,51.15.84.98,9798,,,
032271efcb35188ef00e3f28469a2bb18b50a5f2f325bd130bdac341af24e9b5f0,BitBargain.co.uk,3399ff,1521473324,ipv4,37.221.209.222,9735,,,
02ee4469f2b686d5d02422917ac199602ce4c366a7bfaac1099e3ade377677064d,02ee4469f2b686d5d024,3399ff,1520071817,ipv4,209.239.115.243,9735,,,
020abce87fb0c6c000e6a1da3042bda538fcb20a10b3fa2824587f00e605711f5a,minnode,0000ff,1520360899,ipv4,35.227.91.175,9735,,,
03378bda17378f0a054c87bde20b24e73cff878556c9258e043d0fefc378a8c978,PEBBLE-BEACH,008080,1521499344,ipv4,98.223.233.152,9735,,,
03d4aa52d79c782d4d930c3567fa512ca10f02a028fa0ae4965f21a3a11940d809,WOLVERINE,ff0088,1521482912,ipv4,35.227.40.13,9735,,,
03e269ffc7faa7b0d29f87e6547db29e540418885e45be44d88ef78ff8bc86e144,STRANGECALENDAR,03e269,1518006698,,,,,,
034a4e1702aabf75ed13db39b6ac78b81f3eb01b9b287a50ce4ab699f56323c6ae,GREENTRAWL,034a4e,1516977698,,,,,,
0234192035ee4ac805c2963eed9be4c0918f4b24188c6ed020e89d1348f91403d5,LOUDSQUIRREL,023419,1516994934,ipv6,::2,9735,,,
02ecb395c3090cb99429ce64b7bce41b68dfd6fbb2a337f0f556b6337460e546fd,Peace,0066cc,1519514085,ipv4,35.193.201.11,9735,,,
0360e59bf60cabdb0aababf410fd5c567ef61a59503eb4fbb4d1699596f4b6bdc5,zbiornik.com,0360e5,1521442799,ipv6,2001:41d0:602:237::,9735,,,
02ce7adcbaf97f78592ffeabe71bf75e41a20fa15f255a4def2aeeb8297966f78c,lngate.tokyo,000137,1521500652,ipv4,183.177.138.238,9735,,,
03204b29fe80bbdb895b50f40fb81a78ccc53f2de8eca6bb234facffdbf783ec96,thunder.node,000000,1517553966,ipv4,207.6.149.200,9735,,,
022b662aa03cf4db4820bcf4f47f1006d2bfae9bee416a926fb8bdba16e088d7f6,QR.CR,ff0000,1521499838,ipv4,62.75.142.52,9735,,,
035fc00ae1fc445d3ca6caf6a174f5e0cc55e0d001bc5de451a11d7ca660dee4b5,GROBELR,008000,1518273722,,,,,,
03e6ac3db37d6efeaa2be3d9faa5fcb9bf41d3feb03014148475b36e9688d12c24,***ROUTE 66***,3399ff,1521387569,ipv6,2a02:c207:2016:2394::1,9735,,,
0397e4088b4c7e3e2bda8597e21f12b6affa2eae7145b0d68df405b9b2d394e29a,SILENTDEITY,0397e4,1519221054,,,,,,
03ab7754318a19d343584f051af0c397b8c1378b0babdc15c4b7e083ef3dcb06d6,lnd.rows.io,3399ff,1520334103,ipv4,138.68.234.252,9735,,,
0346d0ab327accaea0ae480a1ad73dd09fc27b24976c21bcdbc61f9c2564ea903f,east3r,2c3e50,1521482552,ipv4,84.155.23.249,9735,,,
03ab476428e4af57de70ce7ad39efbaea6e609aa022e36684ad27d618c266ddd13,SLIMYCHEF,03ab47,1517353479,ipv6,2a00:1028:9943:a062:f04d:ad15:c2bd:cbf1,9735,,,
029ee4b04eb8e37264a741bd73c7b7976e691e0e46e23a8d81281a4f417606a4e9,BIZARRENIGHT,029ee4,1518020968,,,,,,
0361b6dfb36c8e1746e502a3e24e0c766713bb071a567d58e51733941abbd2b534,MasterCoin,ff0000,1521137228,ipv4,35.190.153.189,9735,,,
