source,destination,weight
03b7d8b6bbaf02239277ed32378d50d29840292b61d516d30057b74044992c93dd,020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e,1000
0330c464cb2be97cd4ca5057b192a2be3c775a5f0356aced805769cb8790b879c0,02ad411014bb942951d30cef65c6e99aa66f05fd383d25748f78782f07f32f8fb2,0
0330c464cb2be97cd4ca5057b192a2be3c775a5f0356aced805769cb8790b879c0,0207481a19a3f51a48f134e95afa67cfeffdb38a99b5ad3494a320c4918aaaf579,1000
0330c464cb2be97cd4ca5057b192a2be3c775a5f0356aced805769cb8790b879c0,027ccec61f4bf1fafb5156931da6527dc104ec3613dd4f4050161d89dd76ab494c,1000
03b3b683a829e3ba10c68b9952fc348460f991735859b93deac3acc2dbcbe412fe,02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,1000
03b3b683a829e3ba10c68b9952fc348460f991735859b93deac3acc2dbcbe412fe,0371190acfb2e92bd1faa6ce4d12ff248798515a92ac903ac14d31b5172d9b2917,1000
032a16a13ffc9cb7c2e06d99d3c0d57cb140426d1ce80084afd2bef6078fd5c72a,03b7ca940bc33b882dc1f1bee353a6cf205b1a7472d8ae24d45370a8f510c27d23,546000
03e3d670d86f33181ee7451f14998b376a0d5deba8ab064b4ebe5ad5706f7b112b,03cbf298b068300be33f06c947b9d3f00a0f0e8089da3233f5db37e81d3a596fe1,1000
03e3d670d86f33181ee7451f14998b376a0d5deba8ab064b4ebe5ad5706f7b112b,0387e3780a4325eb38421fb83000a6f6c0ffa4a69ea0c81db3f00e8e5015c9e8a1,1000
03e3d670d86f33181ee7451f14998b376a0d5deba8ab064b4ebe5ad5706f7b112b,0347ffcb271ef54fa6103fc6392370ce398d1bc98460829f7046cf64026253a68e,1000
03e3d670d86f33181ee7451f14998b376a0d5deba8ab064b4ebe5ad5706f7b112b,034a5fdb2df3ce1bfd2c2aca205ce9cfeef1a5f4af21b0b5e81c453080c30d7683,1000
