source,destination,weight
03b7d8b6bbaf02239277ed32378d50d29840292b61d516d30057b74044992c93dd,020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e,1000
026b4f8931fcf87033d0f601ad7e4baa8e93ee74acf313292fd397fd6c27524162,0357712cde38c9e82044ce5070473585e35dcb6069014a7e31a28968f5d839bab4,1000
026b4f8931fcf87033d0f601ad7e4baa8e93ee74acf313292fd397fd6c27524162,03cb9bec8ac2d1f1e51422977139468e17cbc61109afc5c476897e9346bc5d3eac,1000
03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526,020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e,1000
03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526,031c527494f295220d26a1814c18e7db3f4f03203ce1a53a0b74b52ed570a3972a,1000
03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526,0250373555232cec757ea141273e75381c84cc3ab22f1e3a3ca5a2dc55b1904c24,1000
03efeea8961f376931a390ed9ae62be116abc1a8abaad6d1998efcc11d63e86526,027e9923151c58a7dfed9c2cd521587dbd0f0928f548b7853dde7475c21ad3a786,1000
0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a,02c0ac82c33971de096d87ce5ed9b022c2de678f08002dc37fdb1b6886d12234b5,1000
0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a,02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,1000
0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a,0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,1000
0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a,021f2cbffc4045ca2d70678ecf8ed75e488290874c9da38074f6d378248337062b,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,02844b6ce10197a478834444fa13ef594a4ff44636ddc89a8511f42202f861e2e7,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,0201c0130bff6c44f7467cfc4d1343741521489177c24fd9e6fb346a16026ee978,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,03b7ca940bc33b882dc1f1bee353a6cf205b1a7472d8ae24d45370a8f510c27d23,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,02b813dcf53442e2ba8ac0b7911dc31ab0b62fda5e55b30388efb6c39a8ee54d3c,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,02ef471860e3634fb55624b329c09a682aba187c7aada690bab3c5ad9051f2e9f5,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,0260fb7d376815c1fcaffab104fd519ff1221fbf58257bf83142f9b498df2bf840,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,02a4452b0854f164196b924eb36fbb764a35ba2aa32bb7d7885376581be3b971d4,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,02669e1e43577c14a4ae796a38e0cfdadb548615058e367bd96bf825e62c0932ce,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,02a3a17effc394d27bc71b7f458cab02eeafef4eafd1e736583e40e66ebe98a3dd,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,02ba6da2221ea2d2a86578654c18a7f1df5cedb689d7dbb6f6f92bc4c0588ac7b3,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,020d3d5995a973c878e3f6e5f59da54078304c537f981d7dcef73367ecbea0e90e,1000
0235447c7485ff2b945bac5fbc366d54a87389bab8cacf1b64b26ec01e96bd165a,0333b58f86a0c31da7ee61a4bc2232faccf8c4fe4167fe0dd9ce019fe03e82faac,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,03b7ca940bc33b882dc1f1bee353a6cf205b1a7472d8ae24d45370a8f510c27d23,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,02ee4469f2b686d5d02422917ac199602ce4c366a7bfaac1099e3ade377677064d,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,022c715b377856f5e176c52dfbe1f19b0283c4a85d563b1f09a9c7d9b6820ec375,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,02b813dcf53442e2ba8ac0b7911dc31ab0b62fda5e55b30388efb6c39a8ee54d3c,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,03381d03415d45d91c342752ec48d6ae77b7bd676c217d9233e4acb3f207b966d0,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,029efce538a7f6ba7873b1bd00e0028ca39a658b96af326d349fa45bfa34226073,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,0317dbe0879b3c79c6c7c1843096a89c80762665b4d4548984f36402f007896b08,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,028314f021602092779aedd4ef39f3b5809f9b6046f8bc28359b16e659ab1dcd7c,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,02177273c1bc7450ebb9b0385bd7225dd0388bb75d8372aab3ccb6527d0b1b87a3,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,02669e1e43577c14a4ae796a38e0cfdadb548615058e367bd96bf825e62c0932ce,1000
02c119d2fd2e98a88f50d0d2ee4213255b7b8ec2be3a95f9aabd6afb09dd25b083,02ef471860e3634fb55624b329c09a682aba187c7aada690bab3c5ad9051f2e9f5,1000
